iter	Passed	Remaining
398	2238	3372
399	2240	3360
400	2244	3353
401	2246	3341
402	2248	3330
403	2251	3320
404	2253	3310
405	2254	3299
406	2257	3288
407	2259	3278
408	2261	3268
409	2265	3260
410	2275	3261
411	2277	3250
412	2280	3241
413	2282	3230
414	2285	3221
415	2287	3211
416	2288	3200
417	2294	3194
418	2295	3183
419	2308	3187
420	2311	3178
421	2312	3167
422	2319	3163
423	2321	3153
424	2323	3143
425	2325	3133
426	2328	3124
427	2329	3113
428	2336	3110
429	2340	3102
430	2341	3091
431	2343	3081
432	2344	3070
433	2352	3067
434	2356	3060
435	2357	3049
436	2359	3039
437	2363	3032
438	2364	3022
439	2366	3011
440	2367	3001
441	2377	3001
442	2379	2992
443	2382	2982
444	2383	2972
445	2385	2962
446	2386	2952
447	2389	2944
448	2391	2934
449	2394	2927
450	2396	2917
451	2398	2907
452	2399	2897
453	2401	2887
454	2418	2897
455	2428	2896
456	2429	2886
457	2431	2876
458	2441	2878
459	2443	2869
460	2445	2859
461	2447	2849
462	2448	2840
463	2458	2839
464	2459	2829
465	2461	2820
466	2465	2813
467	2472	2810
468	2474	2801
469	2476	2792
470	2477	2783
471	2479	2773
472	2481	2764
473	2482	2755
474	2484	2745
475	2485	2736
476	2487	2727
477	2504	2735
478	2507	2727
479	2509	2718
480	2514	2712
481	2516	2703
482	2518	2696
483	2520	2687
484	2522	2678
485	2528	2674
486	2530	2665
487	2532	2656
488	2533	2647
489	2535	2638
490	2536	2629
491	2538	2621
492	2543	2615
493	2544	2606
494	2547	2598
495	2548	2590
496	2550	2581
497	2551	2572
498	2559	2569
499	2561	2561
500	2565	2555
501	2568	2547
502	2574	2544
503	2577	2536
504	2578	2527
505	2580	2519
506	2589	2518
507	2595	2514
508	2598	2506
509	2601	2499
510	2602	2490
511	2606	2484
512	2608	2475
513	2609	2467
514	2611	2459
515	2613	2451
516	2615	2443
517	2617	2435
518	2621	2429
519	2623	2421
520	2624	2413
521	2626	2404
522	2627	2396
523	2629	2388
524	2632	2381
525	2637	2377
526	2639	2368
527	2640	2360
528	2642	2352
529	2643	2344
530	2645	2336
531	2653	2334
532	2655	2326
533	2658	2319
534	2660	2312
535	2661	2304
536	2663	2296
537	2669	2292
538	2671	2284
539	2675	2279
540	2686	2279
541	2688	2271
542	2690	2264
543	2691	2256
544	2695	2250
545	2702	2246
546	2707	2242
547	2709	2234
548	2716	2231
549	2718	2223
550	2740	2233
551	2743	2226
552	2748	2221
553	2753	2216
554	2755	2209
555	2757	2201
556	2758	2194
557	2763	2189
558	2765	2181
559	2766	2173
560	2772	2169
561	2773	2161
562	2777	2156
563	2779	2148
564	2780	2141
565	2787	2137
566	2793	2133
567	2796	2127
568	2798	2119
569	2799	2112
570	2801	2104
571	2803	2097
572	2805	2090
573	2809	2085
574	2811	2077
575	2812	2070
576	2814	2063
577	2816	2056
578	2817	2048
579	2823	2044
580	2826	2038
581	2827	2031
582	2829	2023
583	2830	2016
584	2832	2009
585	2838	2005
586	2845	2001
587	2847	1994
588	2849	1988
589	2857	1985
590	2858	1978
591	2860	1971
592	2861	1964
593	2863	1956
594	2864	1949
595	2868	1944
596	2870	1937
597	2872	1930
598	2873	1923
599	2878	1918
600	2886	1916
601	2888	1909
602	2890	1902
603	2901	1902
604	2903	1895
605	2904	1888
606	2905	1881
607	2907	1874
608	2909	1867
609	2913	1862
610	2917	1857
611	2919	1850
612	2920	1843
613	2922	1837
614	2923	1830
615	2931	1827
616	2933	1820
617	2934	1813
618	2936	1807
619	2945	1805
620	2947	1798
621	2949	1792
622	2950	1785
623	2951	1778
624	2953	1771
625	2958	1767
626	2959	1760
627	2961	1754
628	2962	1747
629	2963	1740
630	2965	1733
631	2966	1727
632	2968	1720
633	2973	1716
634	2974	1709
635	2976	1703
636	2977	1696
637	2979	1690
638	2980	1684
639	2982	1677
640	2987	1673
641	2988	1666
642	2991	1660
643	2993	1654
644	2994	1648
645	2997	1642
646	2998	1635
647	2999	1629
648	3007	1626
649	3009	1620
650	3011	1614
651	3013	1608
652	3018	1604
653	3025	1600
654	3027	1594
655	3039	1593
656	3041	1587
657	3043	1581
658	3045	1576
659	3051	1572
660	3053	1566
661	3055	1560
662	3058	1554
663	3059	1548
664	3067	1545
665	3068	1539
666	3072	1534
667	3081	1531
668	3084	1526
669	3085	1519
670	3087	1513
671	3088	1507
672	3089	1501
673	3095	1497
674	3098	1491
675	3100	1485
676	3102	1480
677	3105	1474
678	3107	1469
679	3109	1463
680	3111	1457
681	3114	1452
682	3116	1446
683	3120	1441
684	3125	1437
685	3127	1431
686	3128	1425
687	3130	1419
688	3132	1413
689	3133	1407
690	3135	1402
691	3141	1398
692	3143	1392
693	3145	1387
694	3147	1381
695	3148	1375
696	3150	1369
697	3158	1366
698	3160	1360
699	3162	1355
700	3163	1349
701	3166	1344
702	3174	1340
703	3175	1335
704	3177	1329
705	3179	1323
706	3180	1318
707	3187	1314
708	3189	1308
709	3190	1303
710	3192	1297
711	3193	1291
712	3204	1290
713	3208	1285
714	3209	1279
715	3211	1273
716	3218	1270
717	3220	1264
718	3221	1259
719	3224	1253
720	3225	1248
721	3227	1242
722	3235	1239
723	3237	1234
724	3239	1228
725	3241	1223
726	3245	1218
727	3248	1213
728	3249	1208
729	3251	1202
730	3257	1198
731	3259	1193
732	3261	1188
733	3263	1182
734	3266	1177
735	3268	1172
736	3270	1166
737	3271	1161
738	3273	1156
739	3318	1165
740	3319	1160
741	3321	1154
742	3322	1149
743	3324	1143
744	3327	1139
745	3330	1133
746	3331	1128
747	3333	1123
748	3335	1117
749	3337	1112
750	3354	1112
751	3355	1106
752	3357	1101
753	3378	1102
754	3379	1096
755	3416	1102
756	3417	1097
757	3418	1091
758	3420	1085
759	3421	1080
760	3422	1074
761	3430	1071
762	3432	1066
763	3433	1060
764	3440	1057
765	3442	1051
766	3444	1046
767	3445	1040
768	3449	1036
769	3453	1031
770	3454	1026
771	3457	1021
772	3487	1024
773	3489	1018
774	3491	1013
775	3496	1009
776	3500	1004
777	3501	999
778	3502	993
779	3504	988
780	3505	983
781	3507	977
782	3509	972
783	3511	967
784	3514	962
785	3516	957
786	3518	952
787	3520	947
788	3521	941
789	3525	937
790	3526	931
791	3538	929
792	3539	924
793	3547	920
794	3553	916
795	3577	916
796	3583	912
797	3586	907
798	3600	905
799	3605	901
800	3606	895
801	3607	890
802	3609	885
803	3610	880
804	3612	875
805	3613	869
806	3616	865
807	3618	859
808	3620	854
809	3635	852
810	3640	848
811	3642	843
812	3644	838
813	3646	833
814	3648	828
815	3649	822
816	3650	817
817	3652	812
818	3655	807
819	3657	802
820	3658	797
821	3660	792
822	3665	788
823	3666	783
824	3669	778
825	3671	773
826	3672	768
827	3674	763
828	3677	758
829	3679	753
830	3680	748
831	3688	744
832	3690	739
833	3694	735
834	3697	730
835	3702	726
836	3705	721
837	3706	716
838	3708	711
839	3710	706
840	3711	701
841	3713	696
842	3722	693
843	3724	688
844	3725	683
845	3734	679
846	3737	675
847	3738	670
848	3741	665
849	3744	660
850	3754	657
851	3756	652
852	3759	647
853	3767	644
854	3770	639
855	3773	634
856	3775	630
857	3778	625
858	3780	620
859	3781	615
860	3783	610
861	3784	605
862	3786	601
863	3789	596
864	3793	591
865	3795	587
866	3797	582
867	3798	577
868	3800	572
869	3801	568
870	3803	563
871	3807	558
872	3813	554
873	3816	550
874	3830	547
875	3832	542
876	3838	538
877	3840	533
878	3841	528
879	3847	524
880	3849	519
881	3853	515
882	3856	511
883	3858	506
884	3860	501
885	3863	497
886	3864	492
887	3866	487
888	3869	483
889	3871	478
890	3873	473
891	3879	469
892	3883	465
893	3887	460
894	3888	456
895	3890	451
896	3891	446
897	3894	442
898	3899	438
899	3901	433
900	3902	428
901	3903	424
902	3905	419
903	3907	414
904	3908	410
905	3909	405
